anio,ambito,exportaciones_t_lce,produccion_t_lce,exportaciones_musd,verificado,fuente
2013,AR,13000,,,no,"Leído del gráfico ""Exportaciones argentinas de litio 2014-2024, en toneladas"" — Secretaría de Minería, Informe Litio jun-2025, p.31. Valor aproximado: no figura en texto."
2014,AR,17000,,80,no,"Ídem, leído de gráfico"
2015,AR,20000,,90,no,"Ídem, leído de gráfico"
2016,AR,28000,,190,no,"Ídem, leído de gráfico"
2017,AR,31000,,225,no,"Ídem, leído de gráfico"
2018,AR,33000,,270,no,"Ídem, leído de gráfico"
2019,AR,34000,,190,no,"Ídem, leído de gráfico"
2020,AR,27000,,140,no,"Ídem, leído de gráfico"
2021,AR,33000,,205,no,"Ídem, leído de gráfico"
2022,AR,35000,,700,no,"Ídem, leído de gráfico. El informe cita +255,1% interanual en valor para 2022."
2023,AR,45000,,850,no,"Ídem, leído de gráfico"
2024,AR,71000,71000,645,si,"Texto explícito del informe: exportaciones de 71 mil t LCE por USD 645 millones (p.30) y producción nacional de 71 mil t LCE (p.25). Secretaría de Minería, Informe Litio jun-2025."
2019,AR-HombreMuerto,,17000,,no,"Reportes Livent / resúmenes públicos (aprox.)"
2021,AR-HombreMuerto,,15400,,no,"Reportes Livent (aprox.)"
2022,AR-HombreMuerto,,16656,,no,"Reportes Livent (aprox.)"
2023,AR-HombreMuerto,,17509,,no,"Arcadium FY2023 results / SEC (aprox.)"
2024,AR-HombreMuerto,,22000,,no,"Arcadium FY2024 / prensa (aprox.)"
